id,vehicle_id,title,description,availability,condition,price,sale_price,url,make,model,trim,year,body_style,state_of_vehicle,mileage.unit,mileage.value,exterior_color,transmission,fuel_type,address.addr1,address.city,address.region,address.postal_code,address.country,neighborhood[0],latitude,longitude,dealer_id,dealer_name,stock_number,image[0].url,image[0].tag[0],image[1].url,image[2].url,image[3].url,image[4].url,image[5].url,image[6].url,image[7].url,image[8].url,image[9].url,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
1001342,1001342,Chevrolet S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,"Chevrolet S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut — Ano 2023, 88.594 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,179990.00 BRL,,https://thiagoveiculosrv.com.br/carros/gm-chevrolet/s10-pick-up-ltz-2-8-tdi-4x4-cd-dies-aut/2023/1001342,Chevrolet,S10,Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2023,PICKUP,USED,KM,88594,Branco,AUTOMATIC,DIESEL,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1001342,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001342/e3d8b51b-0e52-40c3-92cf-2c7cec5b648a.jpg,Chevrolet S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001342/35d63723-be3b-449c-a08b-d471c085300e.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001342/11a71bc0-f9b3-4043-a3b5-a9393ce855d1.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001342/7c2927f3-333f-466c-8674-e602c49b19b7.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001342/cb784dd8-4221-4826-a131-1e9dd50d14f5.jpg,,,,,,120 a 200 mil,PICKUP,Chevrolet,2023,DIESEL
1001845,1001845,Renault KWID Zen 1.0 Flex 12V 5p Mec.,"Renault KWID Zen 1.0 Flex 12V 5p Mec. — Ano 2018, 100.592 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,39990.00 BRL,,https://thiagoveiculosrv.com.br/carros/renault/kwid-zen-1-0-flex-12v-5p-mec/2018/1001845,Renault,KWID,Zen 1.0 Flex 12V 5p Mec.,2018,HATCHBACK,USED,KM,100592,Branco,MANUAL,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1001845,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001845/e8d351fd-8c53-4cba-aa27-1289ab652773.jpg,Renault KWID Zen 1.0 Flex 12V 5p Mec.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001845/ced97490-8e63-425f-878a-7a9283172931.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001845/cda030c6-fbfa-42d1-be75-182580471529.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001845/879c5758-e2db-4b5a-a4a2-514e77388c88.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1001845/22a4985c-563c-41a2-ae94-3687d03115da.jpg,,,,,,Até 50 mil,HATCHBACK,Renault,2018,FLEX
1004714,1004714,Volkswagen Nivus Highline 1.0 200 TSI Flex Aut.,"Volkswagen Nivus Highline 1.0 200 TSI Flex Aut. — Ano 2024, 42.782 km, cor Cinza. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,116990.00 BRL,,https://thiagoveiculosrv.com.br/carros/vw-volkswagen/nivus-highline-1-0-200-tsi-flex-aut/2024/1004714,Volkswagen,Nivus,Highline 1.0 200 TSI Flex Aut.,2024,HATCHBACK,USED,KM,42782,Cinza,AUTOMATIC,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1004714,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1004714/25361bf7-29fe-4b8a-86c9-7d10ef91776a.jpg,Volkswagen Nivus Highline 1.0 200 TSI Flex Aut.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1004714/bb5db0d6-6ae6-49e0-8b82-35f7c3a10497.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1004714/50ee0821-4f60-482b-a208-34d4536463cf.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1004714/b3075c24-7848-47f1-a8ad-53da3fce299e.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1004714/9a985144-6dab-43e1-bd90-bc5c3e9ecc4f.jpg,,,,,,80 a 120 mil,HATCHBACK,Volkswagen,2024,FLEX
1005859,1005859,Renault OROCH Pro 1.6 Flex 16V Mec.,"Renault OROCH Pro 1.6 Flex 16V Mec. — Ano 2025, 89.483 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,98990.00 BRL,,https://thiagoveiculosrv.com.br/carros/renault/oroch-pro-1-6-flex-16v-mec/2025/1005859,Renault,OROCH,Pro 1.6 Flex 16V Mec.,2025,HATCHBACK,USED,KM,89483,Branco,MANUAL,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1005859,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1005859/525065ba-e7fa-4841-8e65-cd2ef6b6c6e9.jpg,Renault OROCH Pro 1.6 Flex 16V Mec.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1005859/143082a9-e7ca-4600-afb1-ef82c2d69014.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1005859/5ff30052-89e3-450d-9d1f-a4220ea4c63b.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1005859/b711ae35-13f9-4f89-829c-4c4061ac8399.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1005859/6678b499-ec63-413f-868f-b23f011e098e.jpg,,,,,,80 a 120 mil,HATCHBACK,Renault,2025,FLEX
1008593,1008593,Fiat Toro Freedom 1.8 16V Flex Aut.,"Fiat Toro Freedom 1.8 16V Flex Aut. — Ano 2018, 133.769 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,94990.00 BRL,,https://thiagoveiculosrv.com.br/carros/fiat/toro-freedom-1-8-16v-flex-aut/2018/1008593,Fiat,Toro,Freedom 1.8 16V Flex Aut.,2018,PICKUP,USED,KM,133769,Branco,AUTOMATIC,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1008593,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1008593/266bcf42-103f-4c0a-8eff-eccf49e44f3f.jpg,Fiat Toro Freedom 1.8 16V Flex Aut.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1008593/9bcf578e-9142-4e88-a401-c867440c46fe.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1008593/4b63ffe8-9f86-4975-9ae5-7828fdf663d4.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1008593/cb2f3f05-10ef-471d-81c3-7a6030246e2d.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1008593/18ba3e9a-4756-46a7-9adf-53efc55d02b7.jpg,,,,,,80 a 120 mil,PICKUP,Fiat,2018,FLEX
1009668,1009668,Toyota Hilux CD SR 4x4 2.8 TDI Diesel Aut.,"Toyota Hilux CD SR 4x4 2.8 TDI Diesel Aut. — Ano 2020, 178.650 km, cor Prata. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,177990.00 BRL,,https://thiagoveiculosrv.com.br/carros/toyota/hilux-cd-sr-4x4-2-8-tdi-diesel-aut/2020/1009668,Toyota,Hilux,CD SR 4x4 2.8 TDI Diesel Aut.,2020,PICKUP,USED,KM,178650,Prata,AUTOMATIC,DIESEL,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1009668,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1009668/2e3c789a-e269-40d2-bade-e1d043e09314.jpg,Toyota Hilux CD SR 4x4 2.8 TDI Diesel Aut.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1009668/4e1be66b-8f61-459e-b2d9-e545c04905ca.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1009668/35025a7b-b2d1-4abd-b161-1b962b56dd3a.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1009668/0ba4d8bf-263d-42bc-b241-5c2abc2c46c1.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1009668/823a0ad1-0a1b-4a57-a588-cc0a557b33cc.jpg,,,,,,120 a 200 mil,PICKUP,Toyota,2020,DIESEL
1011289,1011289,Chevrolet PRISMA Sed. LTZ 1.4 8V FlexPower 4p,"Chevrolet PRISMA Sed. LTZ 1.4 8V FlexPower 4p — Ano 2016, 96.238 km, cor Prata. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,49990.00 BRL,,https://thiagoveiculosrv.com.br/carros/gm-chevrolet/prisma-sed-ltz-1-4-8v-flexpower-4p/2016/1011289,Chevrolet,PRISMA,Sed. LTZ 1.4 8V FlexPower 4p,2016,HATCHBACK,USED,KM,96238,Prata,,,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1011289,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1011289/4792cc6b-703c-42a1-8a56-f5c77f4edacd.jpg,Chevrolet PRISMA Sed. LTZ 1.4 8V FlexPower 4p,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1011289/197a94f0-ba3f-4e85-a23a-79911b6f22bc.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1011289/34d67cc0-c478-4d2d-a795-a8fd350c073a.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1011289/5ce552bf-8914-49ce-949d-386c2c88d198.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1011289/a2d705f2-b06e-43d4-bb16-9abffac50bea.jpg,,,,,,Até 50 mil,HATCHBACK,Chevrolet,2016,
1012513,1012513,Fiat Toro Freedom 1.3 T270 4x2 Flex Aut.,"Fiat Toro Freedom 1.3 T270 4x2 Flex Aut. — Ano 2022, 105.757 km, cor Prata. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,104990.00 BRL,,https://thiagoveiculosrv.com.br/carros/fiat/toro-freedom-1-3-t270-4x2-flex-aut/2022/1012513,Fiat,Toro,Freedom 1.3 T270 4x2 Flex Aut.,2022,PICKUP,USED,KM,105757,Prata,AUTOMATIC,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1012513,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1012513/41b3cbfc-e891-4737-a16b-a4a7b79d7544.jpg,Fiat Toro Freedom 1.3 T270 4x2 Flex Aut.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1012513/0994a951-4dd3-411e-8177-294b6313cb4a.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1012513/c72543a3-532f-4ecd-abec-7565eb252ff1.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1012513/adbc3056-31cd-4a57-82b9-5d7d488368cd.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1012513/b0d1b0a1-0bd5-4ebc-adf0-0d7532892980.jpg,,,,,,80 a 120 mil,PICKUP,Fiat,2022,FLEX
1013931,1013931,Volkswagen VOYAGE 1.0 Flex 12V 4p,"Volkswagen VOYAGE 1.0 Flex 12V 4p — Ano 2023, 68.098 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,59990.00 BRL,,https://thiagoveiculosrv.com.br/carros/vw-volkswagen/voyage-1-0-flex-12v-4p/2023/1013931,Volkswagen,VOYAGE,1.0 Flex 12V 4p,2023,SEDAN,USED,KM,68098,Branco,,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1013931,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013931/e5386ddf-1162-4555-99a5-702e4ac9d538.jpg,Volkswagen VOYAGE 1.0 Flex 12V 4p,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013931/0c465669-7fe4-4f45-b5f3-19f233acc92d.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013931/ddb33978-4193-4114-8312-9432c9394502.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013931/8b3a5ee7-2519-47e7-92cb-7eac4891ffa4.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013931/45f042f1-c885-46b1-8e9a-7136cbc58e45.jpg,,,,,,50 a 80 mil,SEDAN,Volkswagen,2023,FLEX
1013933,1013933,Fiat Toro Volcano 1.3 T270 4x2 Flex Aut.,"Fiat Toro Volcano 1.3 T270 4x2 Flex Aut. — Ano 2023, 128.130 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,129990.00 BRL,,https://thiagoveiculosrv.com.br/carros/fiat/toro-volcano-1-3-t270-4x2-flex-aut/2023/1013933,Fiat,Toro,Volcano 1.3 T270 4x2 Flex Aut.,2023,PICKUP,USED,KM,128130,Branco,AUTOMATIC,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1013933,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013933/4840c0d8-1218-4d12-af1a-aac56f41010f.jpg,Fiat Toro Volcano 1.3 T270 4x2 Flex Aut.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013933/3966b398-af1e-42e6-a265-d5cda57c24b7.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013933/1102ba5d-7d65-4790-a780-af5c69a363eb.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013933/7262dbc9-c109-4bd0-8a74-a8dd408f194f.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1013933/ef0fa416-248d-4dd0-a916-e6769fca17e2.jpg,,,,,,120 a 200 mil,PICKUP,Fiat,2023,FLEX
1015593,1015593,FORD F-350 2p (diesel),"FORD F-350 2p (diesel) — Ano 2009, 3.388.099 km, cor Prata. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,105990.00 BRL,,https://thiagoveiculosrv.com.br/caminhoes/ford-1/f-350-2p-diesel/2009/1015593,FORD,F-350,2p (diesel),2009,TRUCK,USED,KM,3388099,Prata,,DIESEL,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1015593,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015593/3dcd41ed-6bf0-4a48-8eef-7293080115c2.jpg,FORD F-350 2p (diesel),https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015593/d23b5c02-a55d-49c2-b25f-3ef1ca35ef98.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015593/af9af04f-d6f6-4b5a-b115-4d852aa1944c.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015593/bf1145a1-ec7a-4857-b300-4c3f2dc34075.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015593/6767802c-0bcd-46a8-ba7c-7b0fc832abe3.jpg,,,,,,80 a 120 mil,TRUCK,FORD,2009,DIESEL
1015597,1015597,Fiat Strada Freedom 1.3 Flex 8V CD,"Fiat Strada Freedom 1.3 Flex 8V CD — Ano 2023, 111.510 km, cor Cinza. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,99990.00 BRL,,https://thiagoveiculosrv.com.br/carros/fiat/strada-freedom-1-3-flex-8v-cd/2023/1015597,Fiat,Strada,Freedom 1.3 Flex 8V CD,2023,PICKUP,USED,KM,111510,Cinza,,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1015597,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015597/05365c3b-e605-4140-97ef-779c006d627e.jpg,Fiat Strada Freedom 1.3 Flex 8V CD,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015597/4a524fcc-dd2b-4243-9a36-706199f57552.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015597/2d74d845-4267-4180-ba6e-6ccdec99a714.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015597/7c40845b-b9e0-4a68-8367-020b056cb7f2.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015597/23e80b07-da9f-40fe-9f3e-0d140224e89e.jpg,,,,,,80 a 120 mil,PICKUP,Fiat,2023,FLEX
1015601,1015601,Fiat Strada Adv. M. March. 1.8 Flex 16V CD,"Fiat Strada Adv. M. March. 1.8 Flex 16V CD — Ano 2013, 120.547 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,54990.00 BRL,,https://thiagoveiculosrv.com.br/carros/fiat/strada-adv-m-march-1-8-flex-16v-cd/2013/1015601,Fiat,Strada,Adv. M. March. 1.8 Flex 16V CD,2013,PICKUP,USED,KM,120547,Branco,,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1015601,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015601/f6cf6c81-4b20-4520-8699-77f6b4d98185.jpg,Fiat Strada Adv. M. March. 1.8 Flex 16V CD,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015601/fc57df05-ef09-4913-a23b-23b026d1d3f3.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015601/9e35fc43-5aea-4d3b-93a3-b18cafcdd0f6.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015601/0e18ebc0-aad2-44bc-ab8e-9d949ca678b9.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015601/982271f0-e881-4f30-9ba8-b8140848f15b.jpg,,,,,,50 a 80 mil,PICKUP,Fiat,2013,FLEX
1015623,1015623,Chevrolet S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,"Chevrolet S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut — Ano 2023, 58.903 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,179990.00 BRL,,https://thiagoveiculosrv.com.br/carros/gm-chevrolet/s10-pick-up-ltz-2-8-tdi-4x4-cd-dies-aut/2023/1015623,Chevrolet,S10,Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,2023,PICKUP,USED,KM,58903,Branco,AUTOMATIC,DIESEL,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1015623,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015623/53f802fe-3256-4d4d-9e03-a43d0038872c.jpg,Chevrolet S10 Pick-Up LTZ 2.8 TDI 4x4 CD Dies.Aut,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015623/56e33da0-826d-4171-8b55-8f437541f631.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015623/16d13133-3f43-4d87-b71a-a0124435200a.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015623/67ed4f81-63b6-4b1d-9400-3170b7dfc632.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1015623/36cbd12c-cba7-40a7-a376-5099f08aa094.jpg,,,,,,120 a 200 mil,PICKUP,Chevrolet,2023,DIESEL
1017684,1017684,Fiat ARGO DRIVE 1.0 6V Flex,"Fiat ARGO DRIVE 1.0 6V Flex — Ano 2025, 43.390 km, cor Preto. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,71999.00 BRL,,https://thiagoveiculosrv.com.br/carros/fiat/argo-drive-1-0-6v-flex/2025/1017684,Fiat,ARGO,DRIVE 1.0 6V Flex,2025,HATCHBACK,USED,KM,43390,Preto,,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1017684,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017684/da174d31-7677-46ea-8c1f-7d1e93eab45b.jpg,Fiat ARGO DRIVE 1.0 6V Flex,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017684/a58e0755-8460-48dc-bfa5-f85774624fd5.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017684/683daecf-1974-461a-9fa6-e419afd5903b.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017684/74bd62c3-8a7b-4cd5-bcce-c3543e83e8cc.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017684/1e507666-c058-42de-8cc8-3f477481bc26.jpg,,,,,,50 a 80 mil,HATCHBACK,Fiat,2025,FLEX
1017818,1017818,Chevrolet ONIX SEDAN Plus LT 1.0 12V Flex 4p Mec.,"Chevrolet ONIX SEDAN Plus LT 1.0 12V Flex 4p Mec. — Ano 2024, 31.463 km, cor Branco. Seminovo com procedência, revisado e com garantia da loja. Thiago Veículos, em Rio Verde-GO. Agende sua visita ou chame no WhatsApp que a gente te atende rapidinho.",in stock,used,82990.00 BRL,,https://thiagoveiculosrv.com.br/carros/gm-chevrolet/onix-sedan-plus-lt-1-0-12v-4p-mec/2024/1017818,Chevrolet,ONIX,SEDAN Plus LT 1.0 12V Flex 4p Mec.,2024,SEDAN,USED,KM,31463,Branco,MANUAL,FLEX,"Avenida Paulo Roberto Cunha, Quadra L Lote 15",Rio Verde,GO,75901-648,BR,Rio Verde,-17.7975,-50.9266,thiago-veiculos-rv,Thiago Veículos,1017818,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017818/628d5354-d935-4a4d-9a64-7fe1f3a76820.jpg,Chevrolet ONIX SEDAN Plus LT 1.0 12V Flex 4p Mec.,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017818/8bba46c0-cbd8-450b-8245-9b13a640b667.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017818/f618d939-4a70-4641-a656-30efb6fce083.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017818/dfbcf499-1791-45eb-9ccb-1bcd59f4650a.jpg,https://resized-images.autoconf.com.br/1000x750/filters:format(jpg)/veiculos/fotos/1017818/3271fabc-03f5-46ca-a63e-981d728e9eb8.jpg,,,,,,80 a 120 mil,SEDAN,Chevrolet,2024,FLEX
